
Printing linked list
====================

list size=24426

165 4/a<</type/action/s/uri/uri(https://www.paypal.com/uk/webapps/mpp/ua/pocpsa-full?locale.x=en_gb 6
166 317.65 6
167 32 5
168 38 5
169 44 5
170 46 5
171 58 5
172 66 5
173 73 5
174 693/avgwidth 5
175 693 5
176 151 5
177 180 5
178 188 5
179 190 5
180 199 5
181 226 5
182 r>>/font<</f12 5
183 85 5
184 4/a<</type/action/s/uri/uri(https://www.paypal.com/uk/selfhelp/home?locale.x=en_gb 5
185 122.19 5
186 369 5
187 28 4
188 33 4
189 40 4
190 50 4
191 51 4
192 52 4
193 64 4
194 65 4
195 70 4
196 b9 4
197 677/avgwidth 4
198 427/maxwidth 4
199 2558/fontweight 4
200 42/fontbbox 4
201 558 4
202 677 4
203 401/maxwidth 4
204 2568/fontweight 4
205 40/fontbbox 4
206 568 4
207 18 4
208 r/resources<</font<</f2 4
209 106 4
210 120 4
211 122 4
212 131 4
213 133 4
214 135 4
215 171 4
216 195 4
217 205 4
218 201 4
219 223 4
220 225 4
221 259 4
222 250/stemv 4
223 905/descent 4
224 210/capheight 4
225 728/avgwidth 4
226 33/stemv 4
227 728 4
228 4/a<</type/action/s/uri/uri(https://www.paypal.com/uk/webapps/mpp/ua/acceptableuse-full?locale.x=en_gb 4
229 657.91 4
230 673.43 4
231 4/a<</type/action/s/uri/uri(https://www.paypal.com/uk/webapps/mpp/ua/ceagreement-full?locale.x=en_gb 4
232 125.62 4
233 643.91 4
234 294.45 4
235 415.62 4
236 384.57 4
237 602 4
238 688.95 4
239 370.57 4
240 629.91 4
241 vy 4
242 lr 4
243 299 4
244 600 4
245 395.65 4
246 564 4
247 355 4
248 391 4
249 584 4
250 25 3
251 26 3
252 27 3
253 29 3
254 35 3
255 37 3
256 39 3
257 42 3
258 45 3
259 47 3
260 48 3
261 54 3
262 57 3
263 59 3
264 62 3
265 63 3
266 67 3
267 71 3
268 72 3
269 74 3
270 75 3
271 76 3
272 350 3
273 358 3
274 360 3
275 366 3
276 23 3
277 24 3
278 86 3
279 87 3
280 88 3
281 89 3
282 90 3
283 91 3
284 92 3
285 ix 3
286 gw 3
287 6228 3
288 13 3
289 6232 3
290 17 3
291 19 3
292 20 3
293 22 3
294 94 3
295 95 3
296 96 3
297 93 3
298 98 3
299 99 3
300 100 3
301 101 3
302 102 3
303 103 3
304 97 3
305 105 3
306 104 3
307 107 3
308 108 3
309 109 3
310 110 3
311 111 3
312 112 3
313 116 3
314 117 3
315 118 3
316 115 3
317 121 3
318 123 3
319 119 3
320 125 3
321 124 3
322 127 3
323 128 3
324 126 3
325 129 3
326 132 3
327 134 3
328 130 3
329 136 3
330 138 3
331 139 3
332 140 3
333 137 3
334 142 3
335 143 3
336 141 3
337 145 3
338 146 3
339 144 3
340 147 3
341 150 3
342 149 3
343 152 3
344 153 3
345 154 3
346 155 3
347 156 3
348 158 3
349 157 3
350 160 3
351 161 3
352 162 3
353 163 3
354 164 3
355 159 3
356 166 3
357 167 3
358 168 3
359 169 3
360 170 3
361 172 3
362 173 3
